what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1513418351691
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1513418354300
error,log,,,"EJB 3.x Validator finished validating: file:/E:/30SCJ/professor/codigofonte/3.7-ejb2-tiposSession",1513418354379
error,log,,,"java.net.UnknownHostException: java.sun.com",1513418354425
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1513418638363
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1513418725959
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1513418725991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513418726647
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1513418749778
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1513418749801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513418749896
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1513418749912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1513418749912
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1513418751604
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1513418751651
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1513418751870
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1513418751870
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1513418752698
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1513418752760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513418755114
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1513418767925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513418781628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1513418781660
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1513418783522
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1513418793520
started,bundle,edu.umd.cs.findbugs.plugin.eclipse,2.0.3.20131122-15020,"edu.umd.cs.findbugs.plugin.eclipse",1513418798536
error,log,,,"Core exception while retrieving the content description",1513418798583
error,log,,,"Core exception while retrieving the content description",1513418798614
error,log,,,"Core exception while retrieving the content description",1513418798786
error,log,,,"Core exception while retrieving the content description",1513418798818
error,log,,,"Core exception while retrieving the content description",1513418798849
error,log,,,"Core exception while retrieving the content description",1513418798880
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513418829114
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1513418832458
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1513418832505
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1513418832536
